wall_time,sim_min,served,active,backlog,avg_seated_wait_min,avg_backlog_wait_min
2025-08-23T18:08:41,0.000,0,0,0,0.0,0.0
2025-08-23T18:08:41,11.399,1,0,0,0.038,0.0
2025-08-23T18:08:41,24.761,2,1,0,0.038,0.0
2025-08-23T18:08:42,39.782,3,1,0,0.038,0.0
2025-08-23T18:08:42,42.544,4,1,0,0.038,0.0
2025-08-23T18:08:42,60.858,5,2,0,0.038,0.0
2025-08-23T18:08:42,63.245,6,1,0,0.038,0.0
2025-08-23T18:08:42,70.210,7,1,0,0.038,0.0
2025-08-23T18:08:42,84.110,8,2,0,0.038,0.0
2025-08-23T18:08:43,90.035,9,2,0,0.038,0.0
2025-08-23T18:08:43,99.732,10,2,0,0.038,0.0
2025-08-23T18:08:43,102.217,11,1,0,0.038,0.0
2025-08-23T18:08:43,115.562,12,2,0,0.038,0.0
2025-08-23T18:08:43,123.154,13,2,0,0.038,0.0
2025-08-23T18:08:43,127.811,14,1,0,0.038,0.0
2025-08-23T18:08:44,151.847,15,2,1,0.038,7.847
2025-08-23T18:08:44,171.082,16,2,3,0.472,11.082
2025-08-23T18:08:44,177.177,17,2,3,1.452,9.177
2025-08-23T18:08:45,204.045,18,2,5,2.238,20.045
2025-08-23T18:08:45,207.257,19,2,4,3.848,19.257
2025-08-23T18:08:45,208.406,20,2,4,5.094,12.406
2025-08-23T18:08:45,217.037,21,2,4,5.933,13.037
2025-08-23T18:08:45,218.311,22,2,3,6.729,10.311
2025-08-23T18:08:45,227.536,23,2,3,7.193,11.536
